"","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"Belgium",36.5,36.4,37.1,38,38.1,36.7,37.7,37.4,38.1,37.8
"Bulgaria",48.8,51.3,52.8,52.8,53.2,54.7,55.9,56.4,55.7,53.8
"Czech Republic",72.2,72.2,72.2,71.7,71.4,71.1,70.3,69.6,69,68.5
"Denmark",45.8,45.3,41.7,40.8,40.9,40.7,41.5,41.6,41.4,42
"Germany ",54.6,55.3,56.1,56.3,55.8,56.1,57.6,57.2,57.1,57.1
"Estonia",52.4,52,52.5,51.3,50.6,51.8,51,51.1,51.9,52.2
"Ireland",37.4,37,37,37.3,37.1,36.7,37,36.5,36.4,38.6
"Greece",42.3,39.9,40.1,40.5,40.5,40.6,40.7,41.3,41.4,42.2
"Spain",22.3,22.8,23.1,23.1,23.2,23.4,23.7,23.6,23.5,23.9
"France",41.1,41.1,41.6,42.3,41.8,41.9,42,41.9,43.1,43.7
"Croatia",57.3,58.2,59.9,60.5,60.2,58.8,60,61.1,60.5,60.7
"Italy",38.6,39.1,39.3,39.5,40.1,40.7,41.4,41.9,42.2,42.7
"Cyprus",38.1,38.8,39.1,38.6,38.2,38.3,38,38.6,39.2,37.5
"Latvia",58.5,58,57.5,56.5,57,57.8,56.8,57.4,56.4,57
"Lithuania",56.9,57.4,56.4,56.1,56.5,56,56.3,56.4,55.8,54.3
"Luxembourg",38.3,40.2,38.6,39.5,41.3,40.8,39.3,38.2,38.6,35.5
"Hungary",56.9,57.7,58.3,57.8,58.1,58.5,57.7,57.5,57.8,57.7
"Malta",20.7,21.5,21,22.8,25.2,25.6,26,26.9,27.9,28.4
"Netherlands",41.2,41.5,41.9,40.8,40.4,40.4,40.4,40.6,41.6,41.4
"Austria",60.5,60.3,60,60.4,60.2,60.5,60.6,60.8,60.2,52.4
"Poland",64.3,64.2,63.9,63.8,63.2,62.6,62.2,61.8,61.3,60.7
"Portugal",16.3,16.7,16.6,16.6,17.7,18.8,20.3,21.7,23,24
"Romania",57.6,58.4,59.1,59.2,58.6,57.5,57.2,57.3,57.3,54.6
"Slovenia",59.4,59.4,59.3,59.2,59.6,58.9,58.8,58,57.1,56.5
"Slovakia",68.7,69.2,69.7,70.1,70.1,68.7,68,68,67.5,66.7
"Finland",44.5,44.8,44.6,44.6,44.7,44.8,44.6,45.4,45.6,45.2
"Sweden",52.8,47.2,47.1,47,47,46.7,46.5,46.1,45.7,45
"United Kingdom",44.8,44.9,44.3,44.4,44.2,44.2,43,43.1,42.7,42.5
"Iceland",31.4,32.2,32.4,32,32.3,33,35.7,35.1,35.5,36.1
"Norway",54.9,42.4,41.5,42.6,43.2,42.9,42.5,42.4,42.2,39.3
